"","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipIntensityMax","precipProbability","temperatureHigh","temperatureHighTime","temperatureLow","temperatureLowTime","apparentTemperatureHigh","apparentTemperatureHighTime","apparentTemperatureLow","apparentTemperatureLowTime","dewPoint","humidity","pressure","windSpeed","windGust","windGustTime","windBearing","cloudCover","uvIndex","uvIndexTime","visibility","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","date","precipIntensityMaxTime","precipAccumulation","precipType"
"1",1514782800,"Clear throughout the day.","clear-day",1514809280,1514842810,0.48,0,0,0,18.39,1514836800,12.23,1514894400,17.29,1514844000,4.51,1514887200,-1.67,0.54,1028.26,4.16,13.98,1514829600,309,0.02,2,1514822400,10,6.17,1514808000,18.39,1514836800,-2.19,1514808000,17.29,1514844000,2018-01-01,NA,NA,NA
"2",1514869200,"Clear throughout the day.","clear-day",1514895684,1514929260,0.52,0,0,0,25.79,1514923200,12.65,1514980800,20.13,1514923200,12.1,1514944800,5.51,0.57,1028.58,4.71,12.25,1514912400,266,0.05,2,1514908800,10,12.23,1514894400,25.79,1514923200,4.51,1514887200,20.13,1514923200,2018-01-02,NA,NA,NA
"3",1514955600,"Mostly cloudy starting in the evening.","partly-cloudy-night",1514982086,1515015712,0.56,0,0,0,28.32,1515009600,23.46,1515070800,28.32,1515009600,14.28,1515070800,6.03,0.52,1024.79,0.64,5,1514955600,254,0.13,2,1514995200,10,12.65,1514980800,28.32,1515009600,12.65,1514980800,28.32,1515009600,2018-01-03,NA,NA,NA
"4",1515042000,"Foggy until afternoon.","fog",1515068486,1515102166,0.6,1e-04,5e-04,0.06,24.09,1515110400,8.86,1515157200,15.76,1515067200,-2.83,1515157200,16.64,0.75,999.78,7.31,24.33,1515099600,334,0.98,1,1515078000,5.01,19.8,1515124800,26.62,1515052800,9.16,1515124800,25.83,1515042000,2018-01-04,1515088800,0.032,"snow"
"5",1515128400,"Clear throughout the day.","clear-day",1515154884,1515188621,0.63,0,0,0,15.36,1515182400,7.4,1515240000,4.56,1515189600,-3.15,1515243600,-1.71,0.52,1009.75,8.06,21.82,1515182400,290,0.13,2,1515168000,9.87,8.86,1515157200,18.65,1515128400,-2.83,1515157200,8.19,1515128400,2018-01-05,NA,NA,NA
"6",1515214800,"Clear throughout the day.","clear-day",1515241279,1515275077,0.67,0,0,0,13.02,1515268800,3.68,1515330000,2.1,1515272400,-4.08,1515304800,-7.22,0.46,1023.97,6.44,18.09,1515218400,294,0.03,2,1515254400,10,6.62,1515297600,13.02,1515268800,-3.79,1515297600,2.1,1515272400,2018-01-06,NA,NA,NA
"7",1515301200,"Mostly cloudy starting in the evening.","partly-cloudy-night",1515327672,1515361535,0.71,0,0,0,18.24,1515355200,16.73,1515384000,18.24,1515355200,10.19,1515380400,-2.8,0.53,1033.39,2.44,12.28,1515301200,272,0.19,2,1515340800,10,3.68,1515330000,18.24,1515355200,-4.08,1515304800,18.24,1515355200,2018-01-07,NA,NA,NA
"8",1515387600,"Mostly cloudy throughout the day.","partly-cloudy-day",1515414063,1515447994,0.74,0,0,0,29.76,1515441600,28.08,1515488400,28.86,1515456000,25.42,1515459600,13.32,0.63,1022.76,3.36,9.89,1515391200,231,0.82,2,1515427200,9.81,16.91,1515387600,30.19,1515470400,10.29,1515387600,30.19,1515470400,2018-01-08,NA,NA,NA
"9",1515474000,"Partly cloudy in the morning.","partly-cloudy-night",1515500452,1515534454,0.77,6e-04,0.005,0.32,43.07,1515524400,22.68,1515585600,40.19,1515528000,22.68,1515585600,23.75,0.65,1021.7,2.68,13.92,1515520800,284,0.2,2,1515513600,9.83,28.08,1515488400,43.07,1515524400,26.11,1515495600,40.19,1515528000,2018-01-09,1515520800,NA,"rain"
"10",1515560400,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",1515586839,1515620916,0.8,0,0,0,39.43,1515614400,35.36,1515654000,39.43,1515614400,35.36,1515654000,23.64,0.7,1031.26,0.58,6.78,1515607200,171,0.28,2,1515600000,10,22.68,1515585600,39.43,1515614400,22.68,1515585600,39.43,1515614400,2018-01-10,NA,NA,NA
